iterations,fitness,time
4350,4197.71115658,0.453286
4360,4232.2218935,0.453873
4370,4174.080979,0.454432
4380,4165.79588627,0.45527
4390,4165.3715354,0.456061
4400,4153.76335637,0.456887
4410,4153.64877546,0.457475
4420,4191.5669233,0.45808
4430,4137.19833332,0.458668
4440,4163.47696674,0.460359
4450,4137.19833332,0.460949
4460,4132.43790232,0.461528
4470,4125.06244499,0.462316
4480,3966.59735498,0.463127
4490,4051.37177151,0.463943
4500,4017.64253047,0.464781
4510,3927.20478757,0.465605
4520,4000.24138543,0.46647
4530,3969.89878786,0.467297
4540,3959.7619059,0.468115
4550,3952.06240083,0.468893
4560,3942.60792088,0.469679
4570,3937.74436168,0.470459
4580,3933.87957541,0.471302
4590,3971.12284563,0.472086
4600,3915.43884167,0.472659
4610,3895.04420465,0.473361
4620,3886.16207144,0.473913
4630,3909.92524702,0.474485
4640,3972.1536035,0.475128
4650,3944.28367058,0.475791
4660,3943.78250635,0.476543
4670,3933.87957541,0.477105
4680,3988.93820909,0.477637
4690,3982.07045898,0.47822
4700,3949.40948453,0.481434
4710,3870.36814612,0.482236
4720,3898.91771021,0.483022
4730,3901.09175437,0.483808
4740,3863.15523822,0.484582
4750,3900.40465893,0.485368
4760,3894.91618641,0.486125
4770,3992.29876364,0.486892
4780,3963.78636742,0.487804
4790,3999.76503726,0.488967
4800,3924.1931684,0.48953
4810,3966.29657877,0.490094
4820,3957.73746679,0.490641
4830,4024.75059192,0.491407
4840,3955.25499867,0.49218
4850,3995.76618327,0.492875
4860,4037.64917184,0.493431
4870,4020.42607342,0.49486
4880,4040.11293663,0.495435
4890,3974.98822912,0.495953
4900,4021.7943101,0.496493
4910,4008.50916051,0.49702
4920,4037.71802041,0.49754
4930,3964.31989783,0.498055
4940,3993.77642122,0.498564
4950,4023.64714372,0.4996
4960,4051.00329876,0.500361
4970,4045.98993751,0.501044
4980,4064.20103352,0.504361
4990,4042.66625465,0.504982
